AFP,Duration,Effort
1587.0,4.0,7490.0
260.0,17.0,4150.0
152.0,9.0,668.0
252.0,4.0,3238.0
292.0,13.0,2994.0
83.0,4.0,1333.0
79.0,6.0,1607.0
97.0,7.0,1158.0
116.0,6.0,1243.0
52.0,7.0,3372.0
465.0,9.0,10200.0
67.0,7.0,1704.0
199.0,7.0,2640.0
176.0,26.0,3348.0
391.0,7.0,676.0
263.0,3.0,911.0
42.0,6.4,2496.0
190.0,10.0,1171.0
245.0,13.0,3532.0
77.0,1.0,436.0
355.0,4.0,909.0
3156.0,6.0,9094.0
46.0,6.0,344.0
56.0,3.0,296.0
106.0,13.0,3503.0
71.0,1.0,246.0
306.0,24.0,2082.0
244.0,7.0,191.0
98.0,15.0,2974.0
331.0,2.0,328.0
101.0,8.0,406.0
192.0,8.0,1785.0
60.0,8.0,471.0
180.0,5.0,700.0
118.0,2.0,579.0
73.0,3.0,1211.0
143.0,4.0,1139.0
2190.0,19.0,14520.0
9.0,2.0,239.0
203.0,5.0,1262.0
162.0,8.0,1754.0
183.0,6.0,1514.0
59.0,8.0,667.0
412.0,20.0,5864.0
348.0,3.0,973.0
2529.0,13.0,5333.0
250.0,8.0,1775.0
206.0,5.0,204.0
617.0,7.0,3148.0
173.0,12.0,8716.0
286.0,6.0,1464.0
52.0,2.0,1358.0
45.0,7.0,281.0
104.0,5.0,2321.0
465.0,13.0,4054.0
2145.0,84.0,2400.0
283.0,13.0,5650.0
109.0,2.0,1525.0
160.0,2.0,477.0
65.0,2.0,503.0
366.0,10.0,8470.0
63.0,3.0,778.0
309.0,7.5,2597.0
610.0,3.0,950.0
562.0,13.0,5727.0
156.0,4.0,2040.0
75.0,8.0,3677.0
136.0,2.0,570.0
96.0,8.0,1223.0
78.0,4.0,976.0
51.0,12.0,387.0
1092.0,13.0,4416.0
134.0,8.0,286.0
75.0,5.0,305.0
88.0,7.0,129.0
3088.0,8.0,4266.0
82.0,3.0,440.0
110.0,2.0,1362.0
308.0,6.0,2533.0
143.0,10.0,225.0
826.0,13.0,11045.0
3460.0,24.0,32760.0
73.0,8.0,2054.0
64.0,7.0,252.0
497.0,8.0,2362.0
288.0,5.0,2459.0
494.0,21.0,8706.0
130.0,6.0,770.0
204.0,36.0,8111.0
17.0,11.0,762.0
60.0,1.0,136.0
73.0,1.0,358.0
169.0,6.0,481.0
1351.0,8.0,3189.0
2087.0,9.0,22500.0
253.0,13.0,11719.0
102.0,5.0,183.0
115.0,5.0,1482.0
288.0,11.0,1251.0
199.0,8.0,943.0
163.0,11.0,2684.0
97.0,9.0,729.0
439.0,7.0,3630.0
3113.0,24.0,34085.0
153.0,3.0,2856.0
670.0,6.0,5757.0
129.0,15.0,631.0
329.0,8.0,2184.0
5684.0,37.0,21014.0
61.0,4.0,417.0
267.0,9.0,2683.0
218.0,4.0,5532.0
919.0,6.0,4815.0
66.0,2.0,246.0
54.0,1.0,686.0
245.0,13.0,470.0
54.0,2.0,395.0
151.0,3.0,1080.0
103.0,7.0,1396.0
300.0,10.0,2933.0
249.0,9.0,4551.0
224.0,4.0,2999.0
1984.0,11.0,2540.0
58.0,2.0,26.0
56.0,2.0,448.0
244.0,3.0,906.0
12.0,13.0,211.0
1416.0,12.0,1724.0
67.0,5.0,1584.0
95.0,7.0,148.0
2376.0,24.0,25482.0
442.0,5.0,683.0
68.0,4.0,2521.0
268.0,9.0,2933.0
90.0,2.0,494.0
72.0,7.0,486.0
505.0,30.0,4955.0
450.0,7.0,6138.0
230.0,10.0,1451.0
242.0,2.0,311.0
106.0,2.0,2445.0
